bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea
4,2,3,yes,no,no,no,yes,2,yes
4,4,4,yes,no,no,no,yes,3,no
3,2,2,yes,no,yes,no,no,2,yes
4,2,2,yes,no,yes,no,yes,3,yes
4,1,2,yes,yes,yes,no,yes,2,no
3,3,1,yes,no,yes,no,yes,2,yes
4,3,4,yes,no,no,no,yes,2,yes
5,3,2,yes,no,no,no,no,0,no
4,1,2,yes,yes,yes,no,yes,2,yes
3,2,4,yes,yes,no,no,yes,1,yes
3,1,2,yes,no,yes,no,yes,2,yes
4,3,2,yes,yes,yes,yes,no,2,no
4,2,2,yes,no,no,no,yes,1,yes
4,2,2,yes,no,no,yes,no,2,no
3,2,2,yes,no,no,no,no,0,yes
4,1,2,yes,no,yes,no,no,2,no
4,2,2,yes,yes,yes,no,yes,1,yes
3,2,4,yes,no,no,no,yes,2,no
3,2,2,yes,yes,no,no,yes,2,no
3,2,2,yes,no,no,no,yes,1,yes
3,1,2,yes,no,yes,yes,no,2,no
3,2,1,yes,yes,yes,no,yes,2,no
3,1,1,yes,yes,yes,no,yes,1,no
3,2,2,yes,yes,yes,no,yes,1,no
3,2,2,yes,no,no,no,yes,2,no
4,2,2,yes,yes,yes,no,yes,2,yes
3,2,4,yes,yes,yes,no,yes,0,yes
3,1,1,yes,no,no,no,no,1,no
5,2,2,yes,no,yes,yes,no,2,no
4,2,2,yes,no,yes,no,yes,1,yes
3,2,4,yes,no,no,no,yes,2,no
3,1,4,yes,no,no,no,yes,2,no
4,2,2,yes,no,no,no,yes,1,yes
3,3,2,yes,yes,yes,no,no,1,no
5,1,2,yes,yes,yes,no,yes,1,no
3,2,4,yes,no,no,no,yes,2,no
3,2,3,yes,no,no,yes,no,1,yes
4,2,4,yes,no,no,no,yes,2,no
3,1,4,yes,yes,no,no,yes,2,no
4,2,4,yes,no,no,no,yes,1,no
3,1,2,yes,no,yes,no,yes,0,yes
3,2,4,yes,no,no,no,yes,0,yes
3,2,4,yes,no,no,no,yes,2,no
4,2,4,yes,no,no,no,no,2,no
4,2,4,yes,no,no,no,yes,1,no
3,2,3,yes,no,no,no,yes,0,no
3,2,4,yes,no,no,no,yes,1,no
3,1,4,yes,no,no,no,yes,3,yes
3,2,2,yes,no,yes,no,no,1,no
3,2,1,yes,yes,yes,no,yes,0,yes
3,2,4,yes,no,no,no,no,1,yes
3,1,4,yes,no,no,no,yes,1,no
4,2,4,yes,yes,no,no,yes,1,no
3,2,4,yes,no,no,no,yes,2,no
3,2,2,yes,yes,no,no,yes,1,no
3,1,2,yes,no,no,no,yes,1,no
4,1,2,yes,no,yes,no,no,1,yes
4,2,4,yes,yes,no,no,yes,1,yes
4,2,4,yes,yes,no,no,yes,1,no
3,2,4,yes,yes,no,no,yes,1,no
3,2,2,yes,yes,no,no,no,1,no
2,1,1,yes,no,no,no,yes,1,no
4,2,2,yes,no,no,no,yes,1,no
4,2,3,yes,no,no,no,yes,2,yes
3,1,1,yes,no,yes,no,yes,1,yes
3,2,2,yes,no,yes,no,yes,1,no
2,1,1,yes,no,yes,yes,no,1,no
3,2,1,yes,no,no,no,no,2,no
3,1,1,yes,no,no,no,yes,1,no
4,2,2,yes,no,no,no,no,2,yes
3,2,2,yes,no,yes,no,yes,0,yes
4,2,4,yes,no,no,no,yes,0,no
3,1,4,yes,no,no,no,yes,0,yes
2,2,4,yes,no,yes,no,no,0,yes
3,1,2,yes,no,yes,yes,no,1,no
4,2,2,yes,no,no,yes,no,0,no
3,2,3,yes,no,no,no,yes,0,yes
3,2,3,yes,no,no,no,yes,0,yes
3,1,1,yes,yes,yes,no,yes,2,yes
3,2,3,yes,yes,no,no,yes,0,no
3,1,2,yes,no,no,yes,no,1,yes
3,2,2,yes,no,yes,no,yes,1,no
3,2,1,yes,no,yes,no,yes,1,yes
3,2,4,yes,no,no,no,yes,0,no
3,1,2,yes,no,no,yes,no,2,no
3,2,3,yes,no,no,no,yes,0,no
3,1,3,yes,no,yes,no,no,0,yes
3,1,1,yes,no,yes,no,no,2,no
3,1,1,yes,yes,yes,no,yes,2,yes
5,3,2,yes,no,no,no,no,2,no
3,1,2,yes,no,no,no,yes,0,no
2,1,1,yes,yes,yes,no,no,2,yes
3,2,4,yes,yes,no,no,yes,0,no
3,2,1,yes,no,yes,no,yes,3,no
4,2,4,yes,no,no,no,no,1,no
3,2,3,yes,no,no,no,yes,2,no
3,1,1,yes,no,yes,no,no,1,yes
3,1,1,yes,yes,yes,no,yes,1,yes
3,2,3,yes,no,no,no,yes,0,yes
4,1,3,yes,yes,yes,no,no,0,yes
3,2,1,yes,no,yes,no,yes,0,yes
3,1,3,yes,no,no,no,no,1,yes
3,2,4,yes,yes,no,no,yes,1,no
3,2,3,yes,yes,no,no,yes,0,no
3,2,1,yes,yes,yes,no,no,2,yes
3,1,4,yes,no,no,no,yes,0,no
4,2,1,yes,no,yes,no,yes,0,yes
3,1,3,yes,no,yes,no,no,0,yes
4,1,3,yes,no,no,no,no,1,no
4,2,2,yes,yes,no,yes,no,1,no
3,1,1,yes,yes,yes,no,no,2,yes
3,1,3,yes,no,no,no,yes,2,no
6,2,2,yes,no,no,no,no,0,no
3,1,1,yes,no,yes,no,no,2,yes
2,1,1,yes,yes,yes,no,no,2,no
3,1,1,yes,yes,yes,no,yes,2,yes
3,2,1,yes,yes,yes,no,no,0,yes
4,1,2,yes,yes,no,no,yes,0,no
3,1,1,yes,no,yes,no,yes,0,yes
3,1,1,yes,no,yes,no,yes,2,yes
3,1,1,yes,yes,yes,no,no,2,yes
3,1,2,yes,yes,yes,no,yes,0,yes
4,2,1,yes,no,yes,no,no,1,yes
4,2,2,yes,no,no,no,no,0,no
3,2,4,yes,no,no,no,no,1,no
3,1,1,yes,no,no,no,yes,2,no
3,1,1,yes,no,yes,no,no,2,yes
3,2,3,yes,no,no,no,yes,0,no
3,1,3,yes,yes,no,no,yes,1,no
3,1,3,yes,no,no,no,no,2,yes
3,1,1,yes,yes,yes,no,no,0,no
4,1,4,yes,yes,no,no,no,0,no
3,1,3,yes,no,no,no,yes,0,no
3,1,3,yes,no,no,no,yes,0,no
3,1,1,yes,no,yes,no,no,2,yes
3,2,4,yes,no,no,no,yes,0,no
4,2,2,yes,no,no,no,yes,2,no
4,1,2,yes,no,no,no,no,1,no
3,1,3,yes,no,no,no,yes,0,no
3,1,1,yes,yes,yes,no,yes,2,yes
3,2,4,yes,no,no,no,yes,0,no
4,2,2,yes,yes,yes,no,no,1,yes
4,2,2,yes,no,no,no,no,1,no
5,2,3,no,no,yes,yes,no,0,no
4,1,2,yes,yes,yes,no,yes,1,no
3,1,4,yes,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,1,no
3,2,2,yes,no,no,no,no,1,no
3,1,3,yes,no,no,no,no,0,yes
4,2,1,yes,no,yes,no,no,0,yes
3,1,2,yes,yes,yes,no,yes,0,yes
4,1,2,yes,no,no,no,yes,2,yes
5,1,2,yes,yes,yes,no,yes,0,yes
3,3,2,yes,no,yes,no,no,0,no
3,2,2,yes,no,no,no,no,2,no
3,2,1,yes,no,yes,no,no,2,yes
3,1,1,yes,yes,yes,no,no,0,yes
4,2,2,no,yes,yes,no,no,1,no
3,1,1,yes,no,no,no,no,2,no
3,2,1,yes,yes,yes,no,yes,0,no
4,1,4,yes,yes,no,no,yes,0,no
3,1,3,yes,yes,no,no,yes,0,yes
4,2,2,yes,yes,yes,no,no,0,yes
3,1,1,yes,yes,yes,no,yes,0,yes
3,2,2,yes,yes,yes,no,no,1,yes
3,2,1,yes,yes,yes,yes,no,0,no
3,1,1,yes,no,yes,no,yes,2,yes
2,2,1,yes,no,no,no,yes,2,no
4,1,2,yes,no,yes,no,yes,0,no
4,2,2,no,no,no,no,yes,0,no
3,2,1,yes,no,yes,no,no,0,no
3,1,1,yes,no,no,no,no,1,yes
3,1,2,yes,yes,yes,no,yes,2,yes
4,2,1,yes,no,no,no,yes,0,yes
3,1,2,yes,yes,yes,no,no,1,yes
4,2,2,yes,yes,no,no,no,2,no
3,1,1,yes,no,no,no,yes,2,no
3,1,1,yes,no,yes,no,no,0,yes
3,1,1,yes,yes,yes,no,no,2,yes
3,2,2,yes,no,no,no,no,2,no
4,2,1,no,no,yes,no,yes,2,no
3,1,2,yes,yes,yes,no,no,1,yes
3,1,2,no,no,no,no,yes,0,no
3,1,1,yes,no,no,no,no,1,yes
3,2,2,yes,yes,yes,no,no,0,no
3,1,2,yes,no,yes,no,no,0,no
2,1,2,yes,no,no,no,no,0,yes
3,1,1,yes,no,yes,no,yes,0,yes
2,1,2,yes,no,no,no,yes,0,yes
2,1,1,no,yes,yes,no,no,0,no
4,1,2,yes,no,no,no,yes,2,no
3,1,2,yes,yes,yes,no,no,0,no
3,1,1,yes,yes,yes,no,no,0,yes
2,1,1,yes,yes,yes,no,no,0,no
3,2,1,yes,yes,yes,no,no,0,no
4,3,2,yes,no,yes,no,no,2,no
3,1,1,yes,yes,yes,yes,no,0,no
3,2,2,no,no,yes,no,yes,1,no
3,1,2,yes,no,no,no,yes,0,no
3,1,2,yes,no,no,no,no,1,no
3,1,2,yes,no,yes,no,yes,0,no
3,1,2,no,yes,yes,no,yes,0,no
2,1,1,yes,no,yes,no,no,1,no
4,1,2,yes,no,no,no,no,0,no
3,1,1,yes,yes,yes,no,no,0,no
3,1,1,yes,no,no,no,yes,2,no
2,1,1,yes,yes,yes,no,yes,0,no
3,1,2,yes,no,yes,no,yes,0,no
3,1,3,yes,no,no,no,no,0,no
3,1,1,yes,no,no,no,no,0,no
3,1,2,yes,yes,yes,no,no,2,no
3,1,1,yes,no,no,no,no,2,no
4,2,2,yes,no,yes,no,yes,2,no
4,2,1,yes,no,yes,no,no,0,no
2,1,1,yes,no,yes,no,no,0,no
3,1,3,yes,no,no,no,no,0,no
3,1,1,yes,no,no,no,no,2,yes
3,1,2,yes,no,no,no,yes,2,yes
2,1,1,yes,no,no,no,yes,0,yes
3,1,2,yes,no,yes,no,no,0,no
4,1,4,yes,no,yes,no,yes,2,no
4,2,2,yes,no,no,no,no,0,no
2,1,1,yes,no,yes,no,yes,2,no
3,1,2,yes,no,yes,no,yes,1,no
2,1,1,yes,no,no,no,yes,2,yes
2,1,1,yes,no,no,no,yes,3,no
3,1,4,yes,no,no,no,yes,0,no
2,1,1,yes,no,yes,no,yes,1,no
3,1,2,yes,no,no,no,no,2,no
4,2,2,yes,yes,yes,no,no,1,no
2,1,2,yes,no,no,no,no,0,yes
3,1,1,yes,no,no,no,no,0,yes
3,1,2,yes,no,yes,no,no,0,no
3,1,1,yes,yes,yes,no,yes,0,no
3,2,2,yes,no,yes,no,no,2,no
3,1,2,yes,yes,no,no,yes,1,no
2,1,2,yes,yes,yes,no,no,0,yes
3,1,2,yes,no,yes,no,no,0,no
4,2,2,yes,no,yes,no,no,0,no
3,1,2,yes,no,no,no,no,1,no
3,1,2,yes,no,no,no,no,1,yes
3,1,1,yes,no,no,no,no,2,no
3,1,2,yes,no,no,no,yes,0,no
3,1,2,yes,no,yes,no,no,0,no
3,1,2,yes,yes,yes,no,no,0,yes
3,1,2,yes,no,no,no,no,2,yes
3,1,1,yes,no,no,no,no,0,yes
4,1,4,yes,no,no,no,no,3,no
2,2,1,yes,yes,yes,no,no,0,no
4,2,2,yes,yes,yes,no,no,0,yes
3,1,3,yes,no,no,no,no,0,no
3,1,2,yes,no,yes,no,no,1,no
3,1,1,yes,no,no,no,no,0,no
2,1,2,yes,no,no,no,no,0,yes
4,1,2,yes,no,no,no,yes,2,no
2,1,1,yes,no,no,no,yes,1,no
3,1,2,yes,no,no,no,no,2,no
3,1,1,yes,no,no,no,no,0,no
3,1,2,yes,no,no,no,no,1,no
2,1,1,yes,no,yes,no,yes,1,no
3,1,2,yes,no,no,no,yes,1,no
3,1,2,yes,no,no,no,no,0,no
2,1,1,yes,yes,yes,no,no,0,no
3,1,2,no,no,no,no,no,0,no
2,1,2,yes,no,yes,no,no,0,no
3,1,2,yes,no,no,no,no,0,yes
3,1,1,yes,no,no,no,no,2,yes
3,1,2,yes,no,no,no,no,1,no
4,1,2,yes,no,no,no,yes,0,no
3,1,2,yes,no,no,no,no,0,no
3,2,3,yes,no,no,yes,no,1,no
5,1,2,no,no,yes,no,no,0,no
3,1,1,yes,yes,yes,no,no,2,no
4,1,2,yes,no,no,no,no,2,no
4,1,2,yes,no,no,no,no,0,no
2,1,1,yes,no,yes,no,no,0,no
2,1,1,yes,no,no,no,no,1,no
2,1,1,yes,no,no,no,no,1,yes
3,1,2,yes,no,yes,no,no,2,yes
2,1,1,yes,no,no,no,no,0,no
2,1,2,yes,no,no,no,no,0,no
2,1,1,yes,no,no,no,yes,2,no
3,1,2,no,yes,yes,no,yes,0,no
4,1,2,yes,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,1,no
3,1,2,yes,yes,no,no,no,0,no
3,1,1,yes,no,yes,no,no,0,yes
3,1,2,yes,no,no,no,yes,0,no
3,1,2,yes,no,yes,no,yes,0,no
2,1,1,yes,yes,yes,no,no,2,no
4,3,2,no,no,no,no,no,0,no
3,1,2,yes,no,yes,no,yes,0,no
4,2,2,no,no,no,no,no,0,no
2,1,1,no,no,no,no,no,1,no
4,2,2,no,no,no,no,no,0,no
3,1,2,no,no,no,no,no,0,no
3,2,2,yes,no,no,no,yes,1,no
3,2,2,yes,no,yes,no,no,0,no
3,1,1,yes,no,no,yes,no,2,no
3,1,1,yes,no,no,no,no,3,no
3,1,3,yes,no,no,no,no,0,no
3,1,2,yes,no,no,no,no,0,yes
3,1,3,yes,no,no,no,no,1,yes
3,1,1,yes,no,yes,no,no,0,no
3,1,1,yes,no,yes,no,no,3,no
3,1,2,yes,no,no,no,no,1,no
3,1,2,yes,no,no,no,no,1,no
3,1,2,yes,no,no,no,no,2,no
3,1,2,yes,no,yes,no,no,1,no
4,1,2,yes,no,no,no,yes,0,no
3,1,1,yes,no,yes,no,no,0,no
2,1,1,yes,no,yes,no,no,1,no
3,1,1,yes,no,yes,no,yes,0,yes
3,2,2,yes,no,no,no,no,0,no
2,1,2,yes,no,no,no,no,1,no
2,1,1,yes,no,no,no,yes,0,no
4,2,2,no,no,yes,no,no,1,no
3,2,2,yes,no,no,no,no,2,no
3,1,1,yes,no,no,no,no,0,no
4,1,3,yes,no,yes,no,yes,2,no
3,1,2,yes,no,no,no,no,2,yes
3,2,2,yes,no,no,yes,no,2,no
3,2,1,yes,no,yes,no,yes,1,no
3,1,1,yes,no,no,no,no,3,no
3,1,2,no,no,yes,no,yes,0,no
4,1,2,yes,no,no,no,yes,0,no
4,1,1,no,no,yes,no,no,0,no
3,1,2,no,no,no,no,yes,1,no
3,2,2,no,no,yes,no,yes,0,no
3,1,2,yes,no,no,no,no,0,no
2,1,2,yes,yes,yes,no,no,0,yes
3,2,1,yes,yes,yes,no,no,3,no
4,1,2,yes,yes,yes,no,no,0,no
3,1,2,yes,no,no,no,no,0,no
2,1,1,yes,no,no,yes,no,1,no
2,1,1,yes,no,yes,no,yes,2,no
3,1,1,yes,no,no,no,yes,2,no
4,2,1,yes,no,yes,no,no,0,yes
2,1,2,yes,yes,yes,no,no,0,no
4,2,2,yes,no,no,no,no,0,no
5,2,2,yes,no,no,no,no,0,no
2,2,1,yes,no,yes,no,no,2,no
3,1,2,yes,no,no,no,yes,0,no
2,1,1,yes,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,0,no
3,1,2,yes,no,yes,no,no,0,yes
2,1,2,yes,yes,no,no,no,0,yes
3,1,2,yes,no,no,no,no,0,no
2,2,1,no,no,yes,no,no,0,no
3,1,2,yes,no,no,no,no,0,no
2,1,2,yes,no,no,yes,no,1,no
2,1,1,yes,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,2,no
3,1,3,yes,no,no,no,no,0,yes
2,1,1,yes,no,no,no,no,1,no
3,1,1,yes,no,no,no,no,2,no
5,2,1,no,no,yes,no,yes,1,no
4,1,2,no,no,no,no,no,1,no
2,1,1,yes,no,no,no,no,0,yes
3,1,1,yes,no,no,no,no,1,no
2,1,1,yes,no,no,no,no,0,no
3,1,1,yes,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,0,no
2,1,1,yes,no,no,yes,no,0,no
3,1,2,no,no,yes,yes,no,0,no
2,1,1,yes,no,no,no,no,0,no
2,1,1,yes,no,yes,no,no,0,no
2,1,1,yes,no,no,no,yes,0,no
2,1,1,no,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,0,no
2,1,1,yes,no,no,no,yes,2,no
3,1,2,yes,no,yes,no,no,0,no
3,1,2,no,no,yes,no,no,0,no
2,1,2,yes,no,no,no,yes,0,no
2,2,1,yes,no,yes,no,no,0,no
3,1,2,yes,yes,yes,no,no,0,no
3,2,2,yes,no,no,no,no,2,no
3,2,2,no,no,yes,no,no,0,yes
3,1,3,yes,no,no,yes,yes,0,yes
3,1,1,yes,no,no,no,no,2,yes
2,1,1,yes,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,0,yes
3,1,2,yes,no,yes,no,no,0,no
4,2,2,yes,no,yes,no,no,2,no
2,1,1,no,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,0,no
3,1,1,yes,no,no,no,no,2,no
3,1,2,yes,no,no,no,yes,0,no
3,1,2,yes,no,no,no,no,0,no
4,1,2,yes,no,no,no,no,0,no
3,2,2,no,no,no,no,no,0,no
3,1,2,yes,no,yes,no,no,0,no
3,1,2,yes,no,no,no,no,0,no
3,1,1,no,no,no,no,no,0,no
3,1,1,no,no,no,no,yes,0,no
6,1,2,yes,no,no,no,no,1,no
2,1,1,yes,no,no,no,no,1,no
2,1,1,yes,no,no,no,no,1,no
3,1,2,yes,no,no,no,no,1,no
2,1,1,yes,no,no,no,no,1,no
2,1,1,yes,no,no,no,no,1,yes
3,1,2,yes,no,no,no,no,3,yes
2,1,1,yes,no,no,no,no,0,no
3,1,1,yes,no,no,no,no,0,no
3,1,2,no,no,no,no,no,0,no
3,1,1,yes,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,1,yes
3,1,3,yes,no,no,no,no,0,yes
2,1,1,yes,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,2,no
3,1,1,yes,no,no,no,no,0,no
3,1,3,yes,no,no,no,no,0,yes
3,1,2,yes,no,yes,no,no,0,yes
3,2,2,yes,no,yes,no,no,0,yes
2,1,1,yes,no,no,no,no,0,no
3,1,2,yes,yes,yes,no,yes,1,no
3,1,1,yes,no,yes,no,no,2,no
2,1,1,yes,no,no,no,no,0,no
4,1,2,yes,no,no,no,yes,2,no
4,1,3,no,no,no,no,no,0,no
2,1,2,yes,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,0,no
2,1,1,no,no,no,no,yes,0,no
3,1,1,yes,no,no,no,no,0,no
3,1,2,no,no,yes,no,no,0,no
2,1,1,yes,no,yes,no,no,2,no
3,1,1,no,no,no,no,no,0,no
3,1,2,yes,no,yes,no,no,0,yes
2,1,1,yes,no,no,no,no,1,no
4,1,2,yes,no,no,no,no,0,no
2,1,1,no,no,no,no,yes,0,no
4,1,2,yes,no,yes,no,yes,0,no
3,1,1,yes,yes,yes,no,no,0,no
4,1,2,no,no,no,no,no,1,no
4,1,2,yes,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,0,no
3,1,2,yes,no,yes,no,no,0,yes
3,1,1,yes,no,no,no,no,1,no
2,1,1,no,no,no,no,no,0,no
2,1,1,no,no,no,no,no,0,no
4,1,2,yes,no,yes,no,no,0,no
3,1,2,yes,no,no,no,no,0,no
2,1,1,yes,no,no,no,yes,1,no
3,1,1,no,no,no,no,no,1,no
3,1,2,no,no,no,no,no,0,no
1,1,1,yes,no,no,no,no,0,no
2,2,1,no,yes,yes,no,no,1,no
2,1,1,no,no,yes,no,no,0,no
2,1,1,yes,no,no,no,no,2,no
3,1,2,no,no,yes,no,no,0,no
3,1,2,yes,no,yes,no,no,0,no
2,1,1,yes,no,no,no,no,0,no
3,1,2,yes,no,no,no,no,2,no
2,1,1,yes,no,no,no,no,1,no
3,1,2,yes,no,no,no,yes,0,no
3,1,1,yes,no,yes,no,no,0,no
3,1,1,yes,no,no,no,no,0,yes
3,1,1,no,no,no,no,yes,0,no
3,1,2,yes,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,1,no
2,1,1,yes,no,yes,no,yes,0,no
3,1,2,no,no,yes,no,no,0,no
2,1,1,yes,yes,yes,no,no,0,no
2,1,2,yes,no,no,yes,no,1,no
2,1,1,yes,no,no,no,no,0,no
3,1,2,no,no,no,no,no,0,no
3,1,2,yes,no,no,no,no,2,no
2,1,1,yes,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,0,no
3,1,1,no,no,no,no,no,0,no
3,1,2,yes,no,no,no,no,0,no
4,1,2,yes,no,no,no,no,3,no
2,1,1,yes,no,no,no,no,0,no
4,1,2,no,no,no,no,no,1,no
2,1,2,yes,no,no,no,no,0,no
3,1,2,yes,no,yes,no,no,1,no
2,1,1,yes,no,no,no,no,0,no
3,1,2,no,no,no,no,no,1,no
4,1,2,no,no,no,no,no,0,no
3,1,2,no,no,no,no,no,1,no
2,1,1,no,no,no,no,no,0,no
3,1,2,no,no,no,no,no,0,no
3,1,2,yes,no,no,no,no,0,no
2,1,1,no,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,0,no
4,1,2,yes,no,no,no,no,0,no
4,1,3,yes,no,no,no,no,0,no
3,1,2,no,no,no,no,no,1,no
3,1,2,no,no,no,yes,no,1,no
2,1,1,no,no,no,no,no,1,no
3,1,2,yes,no,yes,no,no,1,no
3,1,1,yes,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,0,no
3,1,2,yes,no,no,no,no,1,no
2,1,1,yes,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,0,no
2,1,2,yes,no,no,no,no,0,no
3,3,2,no,yes,no,no,no,0,no
3,1,1,yes,no,no,no,no,0,no
3,1,1,no,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,1,no
3,1,1,yes,no,no,no,no,0,no
2,1,1,yes,no,no,no,yes,0,no
3,1,2,yes,no,no,no,yes,0,no
2,1,1,no,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,0,no
2,2,2,yes,no,yes,no,no,1,no
3,1,1,no,no,no,no,no,0,no
3,1,1,no,no,no,no,no,0,no
2,1,2,yes,no,no,no,no,0,no
3,1,2,yes,no,no,no,no,0,no
3,1,2,no,no,no,no,no,0,no
3,1,2,yes,no,yes,no,no,0,no
2,1,1,no,yes,no,no,no,1,no
2,1,1,yes,no,no,no,no,1,no
2,1,1,yes,yes,no,no,no,0,no
2,1,2,yes,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,0,no
2,1,1,no,no,no,no,no,0,no
3,1,2,yes,no,no,no,no,0,no
4,2,2,yes,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,0,no
2,1,1,no,no,yes,no,no,0,no
1,1,1,no,no,no,no,no,0,no
3,1,2,yes,no,yes,no,no,0,no
3,1,1,no,no,no,yes,no,0,no
3,1,1,no,no,no,no,yes,0,yes
2,1,1,no,no,no,no,no,0,no
3,1,2,yes,no,no,no,no,0,no
4,1,2,yes,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,1,no
5,1,2,no,no,no,no,no,0,no
3,1,2,yes,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,0,no
2,1,1,no,no,no,no,no,1,no
2,1,1,yes,no,yes,no,no,2,no
3,1,1,no,no,no,no,no,0,no
2,1,1,yes,no,no,no,no,0,no
3,1,1,no,no,no,no,no,0,no
3,1,2,yes,no,no,no,no,0,no
